"uid","namedLocation","domainID","siteID","plotID","pointID","startDate","endDate","sampleID","subsampleID","cameraOrientation","cameraPosition","biophysicalCriteria","imageType","imageFileName","imageFileUrl","remarks","publicationDate","release"
"47a80669-85bc-438b-b03d-a0f3506b4bb3","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","S2",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.S2.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0160.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/overstory/D20_0160.NEF",NA,"20221128T174608Z","RELEASE-2023"
"453461d9-3c60-44c9-a60d-d47a30b2b43d","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","W2",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.W2.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0060.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/understory/D20_0060.NEF",NA,"20221128T174608Z","RELEASE-2023"
"be9aeeb4-fa1a-4887-8f27-7e2710711efe","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","W6",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.W6.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0061.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/understory/D20_0061.NEF",NA,"20221128T174608Z","RELEASE-2023"
"b3662875-1ca0-4938-95c5-9e5dd3b7cf1d","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","S2",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.S2.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0059.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/understory/D20_0059.NEF",NA,"20221128T174608Z","RELEASE-2023"
"e432e7bc-4061-49a7-8105-2b1688a94ca5","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","N10",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.N10.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0043.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/understory/D20_0043.NEF",NA,"20221128T174608Z","RELEASE-2023"
"46fd4e59-cc70-4437-8d2b-80b6cee0419f","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","S6",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.S6.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0056.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/understory/D20_0056.NEF",NA,"20221128T174608Z","RELEASE-2023"
"ef63e29a-0d9e-4f42-920e-524521da0c7f","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","E6",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.E6.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0158.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/overstory/D20_0158.NEF",NA,"20221128T174608Z","RELEASE-2023"
"0cb1c2b3-1112-4bfa-aa7c-a1f673797f35","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","E10",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.E10.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0051.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/understory/D20_0051.NEF",NA,"20221128T174608Z","RELEASE-2023"
"5bd32efe-6b8a-49c2-9bb1-4b4ee7486539","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","S10",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.S10.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0162.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/overstory/D20_0162.NEF",NA,"20221128T174608Z","RELEASE-2023"
"ee3bc806-0bf3-41d0-8df5-768667351230","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","N6",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.N6.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0046.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/understory/D20_0046.NEF",NA,"20221128T174608Z","RELEASE-2023"
